PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.UniprotIds	PG.Genes	PG.ProteinDescriptions	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.UniquePeptides
;;;	;;;	;;;	A0A286ZK38;A0A287AJ73;A0A287AUH7;F6QAP1	CTNNB1	Catenin beta 1	7052595	NaN	4483492	9461464	5355231	1.131076E+07	11	NaN	11	11	11	11
proteinaceous extracellular matrix,cytoplasm	negative regulation of protein kinase activity,cytokine-mediated signaling pathway,bone mineralization,negative regulation of transforming growth factor beta receptor signaling pathway,negative regulation of JAK-STAT cascade,negative regulation of tooth mineralization	protein kinase inhibitor activity,calcium ion binding,collagen binding	F1SUE4	ASPN	Asporin	2.69162E+07	NaN	3.62902E+07	4.990906E+07	1.048476E+08	2.475731E+07	11	NaN	11	11	11	11
mitochondrial ribonuclease P complex	mitochondrion organization,protein homotetramerization,oxidation-reduction process,mitochondrial tRNA methylation,Requires Ontology,mitochondrial tRNA 3'-end processing	tRNA binding,3-hydroxyacyl-CoA dehydrogenase activity,testosterone dehydrogenase [NAD(P)] activity	K7GP28	HSD17B10	Hydroxysteroid 17-beta dehydrogenase 10	4.219991E+07	1.221211E+08	3.39171E+08	5.260208E+08	6.064944E+08	4.519215E+08	23	23	23	23	23	23
collagen type V trimer,basement membrane,extracellular space	blood vessel development,heart morphogenesis,cell adhesion,collagen fibril organization,collagen biosynthetic process,wound healing, spreading of epidermal cells,tendon development,skin development,integrin biosynthetic process,eye morphogenesis,regulation of cellular component organization,negative regulation of endodermal cell differentiation	extracellular matrix structural constituent,heparin binding,proteoglycan binding,platelet-derived growth factor binding	F1S021	COL5A1	Collagen type V alpha 1 chain	2302518	NaN	1.081035E+07	6800715	5047865	2573886	4	NaN	4	4	4	4
;;;;;nucleus,cytoskeleton,plasma membrane,focal adhesion,actin cytoskeleton,macromolecular complex,dense body	;;;;;	;;;;;protein binding,ATP binding	A0A287A5G1;A0A287AA77;A0A287AAR4;A0A5G2QZX1;I3LVD5;Q6QAQ1	ACTG1;ACTG1;ACTB;ACTG1;ACTG1;ACTB	Uncharacterized protein;Uncharacterized protein;Actin, cytoplasmic 1;Uncharacterized protein;Actin, cytoplasmic 2;Actin, cytoplasmic 1	584235	NaN	1.638732E+08	6.313306E+07	8.521777E+07	9.676102E+07	7	NaN	7	7	7	7
;cytoplasm,lamellipodium,filopodium,cell body	;positive regulation of gene expression,mesenchyme migration	;protein binding,ATP binding	A0A5G2QKZ4;B6VNT8	ACTC1	Actin alpha cardiac muscle 1	4.815939E+07	2.951455E+07	6.077711E+08	5.474399E+08	3.947749E+08	6.902544E+08	25	25	25	25	25	25
nucleosome,nucleus;nucleosome,nucleus;nucleosome,nucleus;nucleosome,nucleus;;;;nucleosome,nuclear chromatin;nucleosome,nuclear chromatin	;;;;;;;chromatin silencing;chromatin silencing	DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity;;;;DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity	A0A287ANS6;A0A287B0L6;A0A287B959;A0A287BFK0;A0A480JJE7;A0A5G2QQP3;A0A5G2RFB8;F1RPL1;F2Z587	H2AJ;H2AC12;H2AC6;H2AW;H2AC6;;;LOC100154071;H2AC17	Histone H2A	132535.1	2484609	6506808	5899934	1.714802E+07	1.180442E+07	6	6	6	6	6	6
;collagen trimer,basement membrane;	;;	;extracellular matrix structural constituent;	A0A287A007;A0A287AUX1;F1RXI2	COL4A5	Collagen type IV alpha 5 chain	1.280848E+07	5739674	953980.8	2699597	8897909	1.093942E+07	3	3	3	3	3	3
;;;extracellular region,nucleus,nuclear envelope	;DNA catabolic process,nucleic acid phosphodiester bond hydrolysis;;DNA catabolic process, endonucleolytic,neutrophil activation involved in immune response,regulation of acute inflammatory response,apoptotic process,regulation of neutrophil mediated cytotoxicity	;endonuclease activity,deoxyribonuclease activity;;actin binding,deoxyribonuclease I activity	A0A287BJ79;A0A287BNY8;A0A5G2RAA6;P11936	DNASE1	Deoxyribonuclease;Deoxyribonuclease;Deoxyribonuclease;Deoxyribonuclease-1	3583365	8.327149E+07	NaN	NaN	NaN	NaN	1	1	NaN	NaN	NaN	NaN
			A0A5G2QG45	NUDT3	Nudix hydrolase domain-containing protein	7720686	6616997	2247135	NaN	1047131	501376.9	4	4	4	NaN	4	4
;	metabolic process;	catalytic activity;	A0A287AE42;I3LJJ4	ECH1	Enoyl-CoA hydratase 1	6161174	86956.67	6.28098E+07	9.858666E+07	3.353963E+07	2.681979E+07	10	10	10	10	10	10
			A0A286ZKG9	PPIB	Peptidyl-prolyl cis-trans isomerase	5811686	484573.3	NaN	256309.8	NaN	NaN	3	3	NaN	3	NaN	NaN
;;	;;regulation of transcription from RNA polymerase II promoter,RNA processing	;;DNA binding,RNA binding	A0A287A699;A0A287B646;I3LQS0	HNRNPK	Heterogeneous nuclear ribonucleoprotein K	5.342054E+07	4.365782E+07	1.210674E+08	1.490591E+08	1.485204E+08	2.133552E+08	18	18	18	18	18	18
;extracellular space	proteolysis;proteolysis,digestion	serine-type endopeptidase activity;serine-type endopeptidase activity,protein binding,metal ion binding	A0A287B5W2;P00761	LOC100302368;	Trypsinogen isoform X1;Trypsin	2.207614E+09	1.739642E+09	1.646555E+09	1.292537E+09	1.273927E+09	8.458155E+08	14	14	14	14	14	14
;;;;;	;;;;;	;;;;;	A0A287BHL0;A0A480Q0J7;A0A5G2QGE1;A0A5G2QVL8;A0A5G2R625;A0A5G2REH8	PCBP2	Uncharacterized protein;Poly(RC)-binding protein 2 isoform a;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein	1.924043E+07	4.043908E+07	6.829765E+07	7.499326E+07	4.297245E+07	9.731661E+07	7	7	7	7	7	7
cytosol,nuclear speck,cytoplasmic ribonucleoprotein granule	viral RNA genome replication,positive regulation of transcription from RNA polymerase II promoter	RNA polymerase II transcription factor activity, sequence-specific DNA binding,mRNA binding,protein binding,cadherin binding,sequence-specific single stranded DNA binding	I3LEC2	PCBP1	Uncharacterized protein	6.152154E+07	7.960816E+07	8.852452E+07	4.804369E+07	5.973537E+07	7.134338E+07	6	6	6	6	6	6
			A0A5G2RKB0	BCL2L13	BCL2 like 13	8020599	1.145806E+07	7.709255E+07	5.438451E+07	5.354185E+07	5.97485E+07	8	8	8	8	8	8
;;;;membrane	;;;;signal transduction	;;;;GTPase activity,GTP binding	A0A286ZVJ2;A0A287B931;A0A5G2QA99;A0A5G2QZL2;F2Z5K3	RAP1B;RAP1B;RAP1B;RAP1B;RAP1A	Ras-related protein Rap-1b isoform 1;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;RAP1A, member of RAS oncogene family	339931.3	126009.9	4565471	6420822	4657585	4378557	1	1	1	1	1	1
extracellular space	regulation of receptor activity	hormone activity	Q6QR67	RETN	Resistin	4228445	NaN	2.301978E+07	6176737	1.18821E+07	9777389	1	NaN	1	1	1	1
			A0A5G2QUE0	SERPINC1	Antithrombin-III	2801900	2354768	2.989223E+07	8062072	1.914088E+07	2794713	7	7	7	7	7	7
;;large ribosomal subunit,cytosolic large ribosomal subunit,cytoplasmic side of rough endoplasmic reticulum membrane	;;cytoplasmic translation	;;RNA binding,structural constituent of ribosome,heparin binding	A0A5G2QFP8;A0A5G2QW71;P67985	ICMT;ICMT;RPL22	Isoprenylcysteine carboxyl methyltransferase;Protein-S-isoprenylcysteine O-methyltransferase;60S ribosomal protein L22	1652355	4244457	NaN	NaN	NaN	NaN	2	2	NaN	NaN	NaN	NaN
;;extracellular space,elastic fiber	;;protein localization to cell surface,secretion,elastic fiber assembly,regulation of removal of superoxide radicals	;;integrin binding,calcium ion binding,protein C-terminus binding,protein homodimerization activity	A0A287B4E8;A0A480ZQ94;F1SD87	FBLN5	Fibulin-5	9.616444E+07	8.912118E+07	2.144087E+08	1.982127E+08	3.40242E+08	5.188836E+08	11	11	11	11	11	11
;;	;;	;;	A0A286ZJT5;A0A287BFA3;A0A287BPW9	SORBS1	Sorbin and SH3 domain containing 1	4.413342E+07	3.292202E+07	1.485403E+08	6.429932E+07	9.383179E+07	5.595986E+07	37	37	37	37	37	37
myofibril,sarcomere,myosin filament	microtubule-based movement	microtubule motor activity,calmodulin binding,ATP binding,microtubule binding,actin filament binding	P79293	MYH7	Myosin-7	3.98447E+07	4.478184E+07	1.795629E+08	2.367045E+08	3.138638E+08	3.550321E+08	141	141	141	141	141	141
extracellular space,extracellular matrix			A0A0H5ANC0	OGN	Mimecan	1.809157E+07	2.091892E+07	1.19037E+07	4.599799E+07	3.017374E+07	3.239547E+07	9	9	9	9	9	9
;;;;cytosol,sarcolemma	;;;;muscle fiber development	;;;;ankyrin binding,actin filament binding	A0A286ZRX8;A0A287A8C2;A0A5G2QRW9;A0A5G2R269;F1SMN5	FLNC	Filamin C	2.082825E+07	4.661829E+07	2.984474E+07	5.921951E+07	3.265884E+07	3.190974E+07	83	83	83	83	83	83
cytoplasm,microtubule;;	cytoskeleton organization,microtubule-based process;;	GTPase activity,structural constituent of cytoskeleton,GTP binding;;	A0A286ZNY1;A0A5G2R655;F2Z5S8	TUBA4A	Tubulin alpha chain;Tubulin alpha 4a;Tubulin alpha chain	1.175782E+07	4838621	5.915784E+07	3.194142E+07	1.017298E+07	3.053475E+07	6	6	6	6	6	6
endoplasmic reticulum,extracellular matrix,Weibel-Palade body;;extracellular region,proteinaceous extracellular matrix,endoplasmic reticulum,extracellular matrix,Weibel-Palade body	platelet activation,cell-substrate adhesion,protein homooligomerization;;cell adhesion,blood coagulation,hemostasis,platelet activation,cell-substrate adhesion,protein homooligomerization	protease binding,integrin binding,collagen binding,immunoglobulin binding,protein homodimerization activity,protein N-terminus binding,chaperone binding;;protease binding,integrin binding,protein binding,collagen binding,immunoglobulin binding,protein homodimerization activity,protein N-terminus binding,chaperone binding	F1SL22;K7GNN0;Q28833	VWF	von Willebrand factor;von Willebrand factor;von Willebrand factor (Fragment)	1.808849E+07	1.404491E+07	5.051276E+07	5.279719E+07	2.959078E+07	7.296784E+07	25	25	25	25	25	25
;hemoglobin complex	;oxygen transport	;oxygen transporter activity,iron ion binding,oxygen binding,heme binding	A0A5G2QRW3;F1RII7	HBB	Hemoglobin subunit beta	2.265293E+08	1.326417E+08	8.063288E+07	8.797769E+07	1.222524E+08	1.325852E+08	10	10	10	10	10	10
			A0A5G2QML3	H1-3	Histone H2B	2.598629E+07	1712090	6.672248E+07	1.048782E+07	1.253972E+08	5.98258E+07	6	6	6	6	6	6
mitochondrial inner membrane,integral component of membrane	transmembrane transport	transmembrane transporter activity	A0A286ZIE8	SLC25A4	ADP/ATP translocase	4554068	2.398609E+07	7.860122E+07	1.415981E+08	1.314565E+08	1.181935E+08	16	16	16	16	16	16
;	;UDP-N-acetylglucosamine biosynthetic process	;glucosamine 6-phosphate N-acetyltransferase activity	A0A287BBS9;F1SFE4	GNPNAT1	Glucosamine 6-phosphate N-acetyltransferase	1920280	4209072	NaN	NaN	NaN	NaN	1	1	NaN	NaN	NaN	NaN
;	;	RNA binding;	A0A287BET5;A0A5G2R218	ALYREF	Aly/REF export factor	548568.5	5974454	1.977879E+07	2.601541E+07	6861271	2.029929E+07	4	4	4	4	4	4
large ribosomal subunit,cytosolic large ribosomal subunit,polysomal ribosome,cytoplasmic side of rough endoplasmic reticulum membrane	ribosomal large subunit assembly,cytoplasmic translation	RNA binding,structural constituent of ribosome	Q2YGT9	RPL6	60S ribosomal protein L6	2177140	1131467	68084.68	20424.97	323189.7	1096118	3	3	3	3	3	3
Golgi membrane;	COPII vesicle coating;	identical protein binding;	A0A287AB01;A0A5G2QBI5	TFG	Trafficking from ER to golgi regulator	7790517	NaN	2.686503E+07	7990648	3.246651E+07	6.579231E+07	6	NaN	6	6	6	6
	negative regulation of endopeptidase activity,hyaluronan metabolic process	serine-type endopeptidase inhibitor activity	A0A287B3S3	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	2.314021E+07	8.844946E+07	5.053049E+08	3.353489E+08	1.992432E+08	1.498183E+08	34	34	34	34	34	34
ribosome;large ribosomal subunit,cytosolic large ribosomal subunit,cytoplasmic side of rough endoplasmic reticulum membrane;	translation;translation,ribosomal large subunit biogenesis;	structural constituent of ribosome;RNA binding,structural constituent of ribosome;	A0A286ZW72;A1XQU3;F1SJQ6	RPL14	60S ribosomal protein L14	5060913	2819889	NaN	NaN	NaN	NaN	2	2	NaN	NaN	NaN	NaN
;;	;;proteolysis	;;serine-type endopeptidase activity	A0A5G2QSL2;A0A5G2R980;I3LJ52	CTRB2	Peptidase S1 domain-containing protein	5574007	4.065843E+08	NaN	NaN	NaN	NaN	1	1	NaN	NaN	NaN	NaN
;collagen type III trimer,extracellular space	;cell-matrix adhesion,transforming growth factor beta receptor signaling pathway,integrin-mediated signaling pathway,heart development,response to radiation,peptide cross-linking,cerebral cortex development,collagen fibril organization,response to cytokine,positive regulation of Rho protein signal transduction,wound healing,skin development,digestive tract development,negative regulation of immune response,aorta smooth muscle tissue morphogenesis,cellular response to amino acid stimulus,negative regulation of neuron migration	;protease binding,integrin binding,extracellular matrix structural constituent,SMAD binding,platelet-derived growth factor binding	A0A286ZQ85;F1RYI8	COL3A1	Collagen type III alpha 1 chain;Collagen alpha-1(III) chain preproprotein	1.829805E+07	1.068702E+08	1.114613E+08	5.157268E+07	2.220056E+08	6.000904E+07	2	2	2	2	2	2
;basal lamina,extracellular space,cell periphery,extracellular matrix;	;cell-matrix adhesion,positive regulation of cell-substrate adhesion,glomerular basement membrane development;	;calcium ion binding,collagen binding,laminin-1 binding,proteoglycan binding;	A0A287BMX9;F1RGY5;I3LJT1	NID1	Nidogen 1	3.251218E+07	4.301389E+07	4.099724E+08	2.808254E+08	3.468381E+08	3.801067E+08	25	25	25	25	25	25
;nascent polypeptide-associated complex	;	;	A0A5G2R5U8;K7GNZ3	NACA	NAC-A/B domain-containing protein	3608993	2.207633E+07	3645366	1.242318E+07	1.620221E+07	1.320895E+07	6	6	6	6	6	6
			A0A5G2RB36	KRT79	Keratin 79	3877606	3588150	NaN	1.463137E+07	3215233	NaN	1	1	NaN	1	1	NaN
;;;;;;nucleus	;;;;;;mRNA splicing, via spliceosome,regulation of transcription, DNA-templated	;;;;;;transcription regulatory region sequence-specific DNA binding,RNA binding	A0A287ATQ0;A0A287AW58;A0A287B3Y2;A0A287BEN9;A0A287BK25;A0A287BP90;I3LSU1	NONO	Non-POU domain containing octamer binding	6106509	6802373	2166648	1.898771E+07	6.148312E+07	6.120276E+07	11	11	11	11	11	11
cornified envelope,cytoplasm,intermediate filament	peptide cross-linking,keratinocyte differentiation	structural constituent of epidermis	I3LDS3	KRT10	Keratin 10	9425114	4765209	952123.4	5900825	2392754	7077212	11	11	11	11	11	11
;;;	;;;	;;;metal ion binding	A0A287AAL6;A0A5K1UHX7;K7GLQ8;K7GSI9	FHL1	Four and a half LIM domains 1	9.865668E+07	7.493618E+07	2.096589E+07	1.477755E+08	8.492258E+07	2.346045E+08	4	4	4	4	4	4
;;;;;	;;;;;	;;;;;	A0A286ZHY0;A0A480VGP1;A0A5G2QW73;F1SV99;I3LHV9;I3LNH0	COL16A1	Collagen type XVI alpha 1 chain;Collagen alpha-1(XVI) chain;Collagen type XVI alpha 1 chain;Collagen type XVI alpha 1 chain;Collagen type XVI alpha 1 chain;Collagen type XVI alpha 1 chain	7.627934E+08	6.330246E+08	3.534216E+07	6.20242E+07	1.996021E+07	3.518167E+07	2	2	2	2	2	2
nuclear nucleosome	nucleosome assembly,DNA-templated transcription, initiation	DNA binding,histone binding,protein heterodimerization activity	P62802	NaN	Histone H4	4.678414E+07	4.791282E+07	NaN	8845186	1.191076E+07	3.314508E+07	7	7	NaN	7	7	7
;	regulation of apoptotic process;	;	A0A287B0N7;A0A5G2QL69	NOL3	CARD domain-containing protein	1.55736E+07	NaN	2.133149E+07	1.074725E+08	1.089557E+07	8529587	6	NaN	6	6	6	6
cornified envelope,intermediate filament,intercalated disc,basolateral plasma membrane,desmosome	desmosome organization,ventricular compact myocardium morphogenesis,peptide cross-linking,keratinocyte differentiation,adherens junction organization,intermediate filament organization,protein localization to adherens junction,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,regulation of heart rate by cardiac conduction,regulation of ventricular cardiac muscle cell action potential	protein kinase C binding,structural molecule activity,protein binding, bridging,cell adhesion molecule binding,scaffold protein binding	F1RW75	DSP	Desmoplakin	5.878908E+07	2.560849E+07	1.078093E+08	1.205103E+08	7.263179E+07	9.551044E+07	150	150	150	150	150	150
			A0A287A435	LDB3	Uncharacterized protein	6329243	1.521326E+08	2.659735E+08	3.486248E+08	2.751912E+08	3.443484E+08	14	14	14	14	14	14
;keratin filament;	;;	;structural molecule activity;	A0A287APM4;A0A287ATD0;F1SGI7	KRT75	IF rod domain-containing protein	7292410	1.032194E+07	8378186	2.172362E+07	9002780	9328642	1	1	1	1	1	1
cornified envelope,keratin filament	complement activation, lectin pathway,peptide cross-linking,negative regulation of inflammatory response,establishment of skin barrier	carbohydrate binding,structural constituent of epidermis	F1SGG3	KRT1	Cytokeratin-1	608520.5	1.974525E+07	2.22146E+07	3.189652E+07	1.280341E+07	2.764862E+07	7	7	7	7	7	7
;mitochondrion,cytosol,myelin sheath,membrane raft;cytoplasm	;carbohydrate metabolic process,carboxylic acid metabolic process,oxidation-reduction process;carbohydrate metabolic process,carboxylic acid metabolic process,oxidation-reduction process	;L-lactate dehydrogenase activity,identical protein binding;L-lactate dehydrogenase activity	A0A287AQS1;F1SR05;P00336	LDHB	L-lactate dehydrogenase B chain;L-lactate dehydrogenase;L-lactate dehydrogenase B chain	1.292512E+07	NaN	2.87432E+07	7.317626E+07	4.555297E+07	7.95028E+07	8	NaN	8	8	8	8
;;;collagen trimer,basement membrane;;	;;;;;	;;;extracellular matrix structural constituent;;	A0A286ZWF0;A0A286ZXV9;A0A287AZF2;A0A287B821;A0A287BI02;A0A5G2QYA1	COL4A4	Collagen type IV alpha 4 chain	226774.1	828734.1	4999835	NaN	1190046	NaN	1	1	1	NaN	1	NaN
